model,subject,log_evidence,nll
io_fixed_freq,6,177.416772579593,-177.416772579593
io_fixed_freq,7,143.239609815413,-143.239609815413
io_fixed_freq,8,170.973098139482,-170.973098139482
io_fixed_freq,9,167.824891332266,-167.824891332266
io_fixed_freq,10,160.139233369637,-160.139233369637
io_fixed_freq,11,192.678916319094,-192.678916319094
io_fixed_freq,13,136.06706122696,-136.06706122696
io_fixed_freq,14,185.135024591702,-185.135024591702
io_fixed_freq,15,152.955605086844,-152.955605086844
io_fixed_freq,16,173.671255000981,-173.671255000981
io_fixed_freq,17,178.563053757385,-178.563053757385
io_fixed_freq,18,183.397069605825,-183.397069605825
io_fixed_freq,19,162.370290636332,-162.370290636332
io_fixed_freq,20,197.82170085909,-197.82170085909
io_fixed_freq,21,105.791516919448,-105.791516919448
io_fixed_freq,22,154.687616989339,-154.687616989339
io_fixed_freq,23,203.403319308138,-203.403319308138
io_fixed_freq,24,172.474098176171,-172.474098176171
io_fixed_freq,25,179.497510337744,-179.497510337744
io_fixed_freq,26,183.741380062876,-183.741380062876
io_fixed_freq,27,174.575934917051,-174.575934917051
io_fixed_freq,28,155.569318778577,-155.569318778577
io_fixed_freq,29,217.37827224399,-217.37827224399
io_fixed_freq,30,147.832134327752,-147.832134327752
io_fixed_freq,31,198.520511133222,-198.520511133222
io_fixed_freq,32,210.008302054686,-210.008302054686
io_fixed_freq,33,113.515897468292,-113.515897468292
io_fixed_freq,36,144.303067900602,-144.303067900602
io_fixed_freq,37,161.916014439724,-161.916014439724
io_fixed_freq,38,158.061447380887,-158.061447380887
io_fixed_freq,39,97.8945779857656,-97.8945779857656
io_fixed_freq,41,157.490490006363,-157.490490006363
io_fixed_freq,42,130.308629892819,-130.308629892819
io_fixed_freq,43,142.268835526882,-142.268835526882
io_fixed_freq,44,141.333137753447,-141.333137753447
io_fixed_trans,6,172.142343632376,-172.142343632376
io_fixed_trans,7,139.910437225299,-139.910437225299
io_fixed_trans,8,176.192049127501,-176.192049127501
io_fixed_trans,9,171.290505739495,-171.290505739495
io_fixed_trans,10,158.518801062713,-158.518801062713
io_fixed_trans,11,198.460789439849,-198.460789439849
io_fixed_trans,13,128.445158792469,-128.445158792469
