model,subject,log_evidence,nll
io_fixed_freq,8,139.082365769996,-139.082365769996
io_fixed_freq,9,140.211276237323,-140.211276237323
io_fixed_freq,10,200.751335300209,-200.751335300209
io_fixed_freq,11,157.459295170911,-157.459295170911
io_fixed_freq,13,134.824259136502,-134.824259136502
io_fixed_freq,14,129.683899246155,-129.683899246155
io_fixed_freq,15,126.464329166708,-126.464329166708
io_fixed_freq,16,128.449232508129,-128.449232508129
io_fixed_freq,17,167.05713885999,-167.05713885999
io_fixed_freq,18,109.143780750657,-109.143780750657
io_fixed_freq,19,191.860366437583,-191.860366437583
io_fixed_freq,20,139.237429711022,-139.237429711022
io_fixed_freq,21,123.77548829473,-123.77548829473
io_fixed_freq,22,145.241178928212,-145.241178928212
io_fixed_freq,23,143.12826583573,-143.12826583573
io_fixed_freq,24,124.54994595103,-124.54994595103
io_fixed_freq,25,108.652181004414,-108.652181004414
io_fixed_freq,26,177.925954025077,-177.925954025077
io_fixed_freq,27,136.717260946215,-136.717260946215
io_fixed_freq,28,137.312598321603,-137.312598321603
io_fixed_freq,29,187.072168505263,-187.072168505263
io_fixed_freq,30,90.0426167371514,-90.0426167371514
io_fixed_freq,31,162.13171556121,-162.13171556121
io_fixed_freq,32,247.070123392785,-247.070123392785
io_fixed_freq,33,116.276979915397,-116.276979915397
io_fixed_freq,36,128.308171183431,-128.308171183431
io_fixed_freq,37,168.236200140656,-168.236200140656
io_fixed_freq,38,157.170591394951,-157.170591394951
io_fixed_freq,39,122.459251501536,-122.459251501536
io_fixed_freq,41,172.009233983017,-172.009233983017
io_fixed_freq,42,94.000033450277,-94.000033450277
io_fixed_freq,43,124.176539062731,-124.176539062731
io_fixed_freq,44,121.63511096313,-121.63511096313
io_fixed_trans,8,139.341506200504,-139.341506200504
io_fixed_trans,9,140.346571002676,-140.346571002676
io_fixed_trans,10,194.50826665261,-194.50826665261
io_fixed_trans,11,157.507813090583,-157.507813090583
io_fixed_trans,13,131.80060137077,-131.80060137077
io_fixed_trans,14,123.920487685185,-123.920487685185
io_fixed_trans,15,126.217463792564,-126.217463792564
io_fixed_trans,16,130.194849975375,-130.194849975375
io_fixed_trans,17,169.064850825668,-169.064850825668
io_fixed_trans,18,110.704442496781,-110.704442496781
io_fixed_trans,19,192.217137037041,-192.217137037041
io_fixed_trans,20,138.4435363917,-138.4435363917
io_fixed_trans,21,121.383576796797,-121.383576796797
io_fixed_trans,22,146.875561965396,-146.875561965396
io_fixed_trans,23,141.110784787114,-141.110784787114
io_fixed_trans,24,125.232056603505,-125.232056603505
io_fixed_trans,25,102.016417212159,-102.016417212159
io_fixed_trans,26,177.647706465549,-177.647706465549
io_fixed_trans,27,136.032616098996,-136.032616098996
io_fixed_trans,28,137.363625700746,-137.363625700746
io_fixed_trans,29,189.73388389585,-189.73388389585
io_fixed_trans,30,88.8964960106856,-88.8964960106856
io_fixed_trans,31,160.559877616984,-160.559877616984
io_fixed_trans,32,248.765501321686,-248.765501321686
io_fixed_trans,33,117.187685728632,-117.187685728632
io_fixed_trans,36,125.566321705706,-125.566321705706
io_fixed_trans,37,150.414849455047,-150.414849455047
io_fixed_trans,38,156.940993265518,-156.940993265518
io_fixed_trans,39,122.095579976133,-122.095579976133
io_fixed_trans,41,170.877418536359,-170.877418536359
io_fixed_trans,42,91.8794658757854,-91.8794658757854
io_fixed_trans,43,123.780601363602,-123.780601363602
io_fixed_trans,44,121.363475410255,-121.363475410255
io_jump_freq,8,145.431959643674,-145.431959643674
io_jump_freq,9,144.156652790247,-144.156652790247
io_jump_freq,10,210.47667735627,-210.47667735627
io_jump_freq,11,162.841010795814,-162.841010795814
io_jump_freq,13,137.212946279696,-137.212946279696
io_jump_freq,14,133.415981886401,-133.415981886401
io_jump_freq,15,130.813922090468,-130.813922090468
io_jump_freq,16,133.369298204309,-133.369298204309
io_jump_freq,17,173.198349879865,-173.198349879865
io_jump_freq,18,112.812132628657,-112.812132628657
io_jump_freq,19,197.05344962575,-197.05344962575
io_jump_freq,20,143.420009778646,-143.420009778646
io_jump_freq,21,130.854204115146,-130.854204115146
io_jump_freq,22,149.328471427192,-149.328471427192
io_jump_freq,23,151.301870864565,-151.301870864565
io_jump_freq,24,129.117329540706,-129.117329540706
io_jump_freq,25,111.889754875252,-111.889754875252
io_jump_freq,26,181.88554614505,-181.88554614505
io_jump_freq,27,140.496639886227,-140.496639886227
io_jump_freq,28,140.25333137073,-140.25333137073
io_jump_freq,29,190.260851799876,-190.260851799876
io_jump_freq,30,95.0499223763649,-95.0499223763649
io_jump_freq,31,166.61480760782,-166.61480760782
io_jump_freq,32,251.569515712467,-251.569515712467
io_jump_freq,33,120.653963328261,-120.653963328261
io_jump_freq,36,133.837052125162,-133.837052125162
io_jump_freq,37,173.821064264606,-173.821064264606
io_jump_freq,38,163.136361934419,-163.136361934419
io_jump_freq,39,128.194258857364,-128.194258857364
io_jump_freq,41,176.26826169942,-176.26826169942
io_jump_freq,42,98.7497837187645,-98.7497837187645
io_jump_freq,43,130.091477035472,-130.091477035472
io_jump_freq,44,125.643688186195,-125.643688186195
io_jump_trans,8,146.295108610361,-146.295108610361
io_jump_trans,9,144.403370570411,-144.403370570411
io_jump_trans,10,200.473907841426,-200.473907841426
io_jump_trans,11,163.318913517557,-163.318913517557
io_jump_trans,13,135.941864060549,-135.941864060549
io_jump_trans,14,127.500567432603,-127.500567432603
io_jump_trans,15,130.737570451974,-130.737570451974
io_jump_trans,16,134.308495983491,-134.308495983491
io_jump_trans,17,175.154072843137,-175.154072843137
io_jump_trans,18,113.717416895564,-113.717416895564
io_jump_trans,19,197.041820035733,-197.041820035733
io_jump_trans,20,141.840115152316,-141.840115152316
io_jump_trans,21,128.952728274033,-128.952728274033
io_jump_trans,22,150.865205508631,-150.865205508631
io_jump_trans,23,146.46165004519,-146.46165004519
io_jump_trans,24,131.2176817076,-131.2176817076
io_jump_trans,25,105.739925535125,-105.739925535125
io_jump_trans,26,181.877555102795,-181.877555102795
io_jump_trans,27,141.502829722496,-141.502829722496
io_jump_trans,28,140.23995841888,-140.23995841888
io_jump_trans,29,193.6103665234,-193.6103665234
io_jump_trans,30,93.4311403393105,-93.4311403393105
io_jump_trans,31,165.148032765463,-165.148032765463
io_jump_trans,32,252.342261645668,-252.342261645668
io_jump_trans,33,121.505967738652,-121.505967738652
io_jump_trans,36,130.259542887289,-130.259542887289
io_jump_trans,37,155.305926435483,-155.305926435483
io_jump_trans,38,161.721692546171,-161.721692546171
io_jump_trans,39,126.615419449025,-126.615419449025
io_jump_trans,41,175.510445968829,-175.510445968829
io_jump_trans,42,96.9206564116545,-96.9206564116545
io_jump_trans,43,128.356420828453,-128.356420828453
io_jump_trans,44,125.695970235483,-125.695970235483
random,8,138.048321210312,-138.048321210312
random,9,144.050211511268,-144.050211511268
random,10,211.666550324146,-211.666550324146
random,11,155.167617834894,-155.167617834894
random,13,131.437940777069,-131.437940777069
random,14,132.360616350643,-132.360616350643
random,15,130.983952133877,-130.983952133877
random,16,134.704123451594,-134.704123451594
random,17,166.206731733968,-166.206731733968
random,18,111.959056352615,-111.959056352615
random,19,197.05792278635,-197.05792278635
random,20,144.434160651489,-144.434160651489
random,21,131.383046900335,-131.383046900335
random,22,149.275354450982,-149.275354450982
random,23,152.939435463534,-152.939435463534
random,24,128.855988856093,-128.855988856093
random,25,105.978498291353,-105.978498291353
random,26,182.092772166819,-182.092772166819
random,27,135.334247509455,-135.334247509455
random,28,140.099323148333,-140.099323148333
random,29,187.229957772535,-187.229957772535
random,30,94.8010180613277,-94.8010180613277
random,31,166.166191391191,-166.166191391191
random,32,251.941470363948,-251.941470363948
random,33,116.720576492702,-116.720576492702
random,36,133.065236261844,-133.065236261844
random,37,173.876755714434,-173.876755714434
random,38,159.651915988468,-159.651915988468
random,39,129.608583294033,-129.608583294033
random,41,175.636270797396,-175.636270797396
random,42,97.7669360976456,-97.7669360976456
random,43,130.646988338348,-130.646988338348
random,44,124.878311621549,-124.878311621549
rw,8,145.175183245111,-145.175183245111
rw,9,144.54238814711,-144.54238814711
rw,10,187.331096226333,-187.331096226333
rw,11,163.657866079859,-163.657866079859
rw,13,140.294381136094,-140.294381136094
rw,14,125.012191540822,-125.012191540822
rw,15,131.670425215822,-131.670425215822
rw,16,138.235827789386,-138.235827789386
