subject,session,runtime,p1,pmod_mean,pmod_surprise,pmod_sd,pmod_pe
6,1,1.6,NaN,0,1,0,0
6,1,3.1,NaN,0,0,0,0
6,1,4.6,NaN,0,0,0,0
6,1,6.05,NaN,0,0,0,0
6,1,7.6,NaN,0,0,0,0
6,1,9.2,NaN,0,0,0,0
6,1,10.8,NaN,0,0,0,1
6,1,12.25,NaN,0.295343945373243,0.704656054626757,0,-0.295343945373243
6,1,13.8,NaN,0.20811589930461,0.20811589930461,0,-0.20811589930461
6,1,15.4,NaN,0.146650128509086,0.146650128509086,0,-0.146650128509086
6,1,16.9,NaN,0.103337900965719,0.103337900965719,0,0.896662099034281
6,1,18.45,NaN,0.368161622961157,0.631838377038843,0,-0.368161622961157
6,1,20,NaN,0.259427316700793,0.259427316700793,0,-0.259427316700793
6,1,21.6,NaN,0.182807029448787,0.182807029448787,0,-0.182807029448787
6,1,23.05,NaN,0.12881608012942,0.12881608012942,0,-0.12881608012942
6,1,24.45,NaN,0.090771030796481,0.090771030796481,0,-0.090771030796481
6,1,25.9,NaN,0.0639623564354522,0.0639623564354522,0,0.936037643564548
6,1,27.3,NaN,0.340415407103679,0.659584592896321,0,-0.340415407103679
6,1,28.9,NaN,0.23987577770384,0.23987577770384,0,-0.23987577770384
6,1,30.3,NaN,0.169029919117313,0.169029919117313,0,-0.169029919117313
6,1,31.75,NaN,0.119107955919086,0.119107955919086,0,-0.119107955919086
6,1,40.25,0.2,0.0839301422926005,0.0839301422926005,0,-0.0839301422926005
6,1,41.7,NaN,0.0591418829321662,0.0591418829321662,0,0.940858117067834
6,1,43.2,NaN,0.337018631263421,0.662981368736579,0,-0.337018631263421
6,1,44.8,NaN,0.237482219041792,0.237482219041792,0,0.762517780958208
6,1,46.2,NaN,0.462687228887239,0.537312771112761,0,-0.462687228887239
6,1,47.7,NaN,0.326035357233869,0.326035357233869,0,0.673964642766131
6,1,49.2,NaN,0.525086733870487,0.474913266129513,0,-0.525086733870487
6,1,50.8,NaN,0.370005546226027,0.370005546226027,0,0.629994453773973
6,1,52.25,NaN,0.556070593766893,0.443929406233107,0,0.443929406233107
6,1,53.65,NaN,0.68718245607098,0.31281754392902,0,-0.68718245607098
6,1,55.1,NaN,0.484227278303702,0.484227278303702,0,0.515772721696298
6,1,56.65,NaN,0.636557628845382,0.363442371154618,0,-0.636557628845382
6,1,58.2,NaN,0.448554187284751,0.448554187284751,0,0.55144581271525
6,1,59.7,NaN,0.611420369271627,0.388579630728373,0,0.388579630728373
6,1,61.3,NaN,0.726185010502622,0.273814989497378,0,0.273814989497378
6,1,62.8,NaN,0.807054609803111,0.192945390196889,0,0.192945390196889
6,1,64.35,NaN,0.86403986258544,0.13596013741456,0,0.13596013741456
6,1,65.75,NaN,0.904194865982944,0.0958051340170557,0,0.0958051340170557
6,1,67.35,NaN,0.932490332250554,0.0675096677494462,0,0.0675096677494462
6,1,68.8,NaN,0.952428903874512,0.047571096125488,0,0.047571096125488
6,1,70.35,NaN,0.966478739089943,0.0335212609100566,0,0.0335212609100566
6,1,78.9,0.733333333333333,0.976379040541005,0.0236209594589946,0,0.0236209594589946
6,1,80.5,NaN,0.983355347901126,0.0166446520988737,0,0.0166446520988737
6,1,81.95,NaN,0.988271245121373,0.0117287548786273,0,-0.988271245121373
6,1,83.35,NaN,0.696391316488299,0.696391316488299,0,0.303608683511701
6,1,84.95,NaN,0.786060302926221,0.213939697073779,0,0.213939697073779
6,1,86.55,NaN,0.849246097131947,0.150753902868053,0,-0.849246097131947
6,1,87.95,NaN,0.59842640421217,0.59842640421217,0,0.40157359578783
6,1,89.5,NaN,0.717028734349867,0.282971265650133,0,0.282971265650133
6,1,90.95,NaN,0.800602584374238,0.199397415625762,0,0.199397415625762
6,1,92.4,NaN,0.859493403802379,0.140506596197621,0,-0.859493403802379
6,1,93.9,NaN,0.605647230901106,0.605647230901106,0,0.394352769098894
6,1,95.35,NaN,0.722116933595637,0.277883066404363,0,0.277883066404363
6,1,96.9,NaN,0.804188014779916,0.195811985220084,0,0.195811985220084
6,1,98.35,NaN,0.862019899046183,0.137980100953817,0,0.137980100953817
6,1,99.9,NaN,0.902771486444882,0.0972285135551183,0,-0.902771486444882
6,1,101.45,NaN,0.636143393867783,0.636143393867783,0,0.363856606132217
6,1,102.9,NaN,0.74360623947299,0.25639376052701,0,0.25639376052701
6,1,104.35,NaN,0.81933058427612,0.18066941572388,0,-0.81933058427612
6,1,112.8,0.366666666666667,0.577346256951046,0.577346256951046,0,0.422653743048954
6,1,114.3,NaN,0.702174480949893,0.297825519050107,0,-0.702174480949893
6,1,115.7,NaN,0.494791499405743,0.494791499405743,0,0.505208500594257
6,1,117.1,NaN,0.644001771207351,0.355998228792649,0,-0.644001771207351
6,1,118.7,NaN,0.453799747271615,0.453799747271615,0,-0.453799747271615
6,1,120.25,NaN,0.319772739503036,0.319772739503036,0,-0.319772739503036
6,1,121.65,NaN,0.225329796995399,0.225329796995399,0,-0.225329796995399
6,1,123.15,NaN,0.158780005740626,0.158780005740626,0,0.841219994259374
6,1,124.7,NaN,0.407229237772046,0.592770762227954,0,-0.407229237772046
6,1,126.3,NaN,0.286956548017112,0.286956548017112,0,-0.286956548017112
6,1,127.7,NaN,0.202205668975052,0.202205668975052,0,-0.202205668975052
6,1,129.25,NaN,0.142485448923124,0.142485448923124,0,0.857514551076876
6,1,130.75,NaN,0.395747179653134,0.604252820346866,0,-0.395747179653134
6,1,132.25,NaN,0.278865646244044,0.278865646244044,0,0.721134353755956
6,1,133.65,NaN,0.491848311426512,0.508151688573488,0,0.508151688573488
6,1,135.1,NaN,0.641927835977881,0.358072164022119,0,-0.641927835977881
6,1,136.7,NaN,0.452338336255266,0.452338336255266,0,-0.452338336255266
6,1,138.1,NaN,0.318742947382067,0.318742947382067,0,0.681257052617933
6,1,139.65,NaN,0.519948093115594,0.480051906884406,0,-0.519948093115594
6,1,148.2,0.5,0.36638457190554,0.36638457190554,0,-0.36638457190554
6,1,149.8,NaN,0.258175106915072,0.258175106915072,0,0.741824893084928
6,1,151.2,NaN,0.477268597614858,0.522731402385142,0,-0.477268597614858
6,1,152.8,NaN,0.336310206992531,0.336310206992531,0,-0.336310206992531
6,1,154.2,NaN,0.236983023590065,0.236983023590065,0,-0.236983023590065
6,1,155.6,NaN,0.166991522416495,0.166991522416495,0,-0.166991522416495
6,1,157.05,NaN,0.117671587342123,0.117671587342123,0,-0.117671587342123
6,1,158.45,NaN,0.0829179964781683,0.0829179964781683,0,-0.0829179964781683
6,1,159.9,NaN,0.0584286682558614,0.0584286682558614,0,0.941571331744139
6,1,161.35,NaN,0.336516060223514,0.663483939776486,0,-0.336516060223514
6,1,162.8,NaN,0.237128079315641,0.237128079315641,0,-0.237128079315641
6,1,164.25,NaN,0.167093736811781,0.167093736811781,0,-0.167093736811781
6,1,165.8,NaN,0.117743613334631,0.117743613334631,0,-0.117743613334631
6,1,167.35,NaN,0.0829687500298796,0.0829687500298796,0,-0.0829687500298796
6,1,168.85,NaN,0.0584644320533686,0.0584644320533686,0,-0.0584644320533686
6,1,170.4,NaN,0.0411973160267208,0.0411973160267208,0,0.958802683973279
6,1,171.95,NaN,0.324373883545844,0.675626116454156,0,-0.324373883545844
6,1,173.55,NaN,0.228572021003373,0.228572021003373,0,-0.228572021003373
6,1,175,NaN,0.161064658518301,0.161064658518301,0,-0.161064658518301
6,1,183.55,0.2,0.113495186811312,0.113495186811312,0,-0.113495186811312
6,1,185.15,NaN,0.079975070557586,0.079975070557586,0,0.920024929442414
6,1,186.7,NaN,0.351698863060848,0.648301136939152,0,-0.351698863060848
6,1,188.2,NaN,0.247826733261173,0.247826733261173,0,0.752173266738827
6,1,189.75,NaN,0.469976553464099,0.530023446535901,0,-0.469976553464099
6,1,191.2,NaN,0.331171823931093,0.331171823931093,0,0.668828176068907
6,1,192.7,NaN,0.528706176228074,0.471293823771926,0,-0.528706176228074
6,1,194.1,NaN,0.372556008197674,0.372556008197674,0,0.627443991802326
6,1,195.7,NaN,0.557867792237309,0.442132207762691,0,0.442132207762691
6,1,197.15,NaN,0.688448862854525,0.311551137145475,0,-0.688448862854525
6,1,198.7,NaN,0.485119659511347,0.485119659511347,0,-0.485119659511347
6,1,200.1,NaN,0.341842505293141,0.341842505293141,0,0.658157494706859
6,1,201.5,NaN,0.536225336456834,0.463774663543166,0,-0.536225336456834
6,1,202.9,NaN,0.377854429978578,0.377854429978578,0,-0.377854429978578
6,1,204.4,NaN,0.266257411851947,0.266257411851947,0,0.733742588148053
6,1,205.85,NaN,0.482963842723968,0.517036157276032,0,-0.482963842723968
6,1,207.35,NaN,0.340323395941249,0.340323395941249,0,0.659676604058751
6,1,208.85,NaN,0.535154886854383,0.464845113145617,0,-0.535154886854383
6,1,217.25,0,0.377100131185038,0.377100131185038,0,-0.377100131185038
6,1,218.8,NaN,0.265725890640081,0.265725890640081,0,0.734274109359919
6,1,220.35,NaN,0.482589303083864,0.517410696916136,0,0.517410696916136
6,1,221.8,NaN,0.635403419689395,0.364596580310605,0,-0.635403419689395
6,1,223.35,NaN,0.447740866814678,0.447740866814678,0,-0.447740866814678
6,1,224.85,NaN,0.315503312704796,0.315503312704796,0,-0.315503312704796
6,1,226.3,NaN,0.222321319552233,0.222321319552233,0,-0.222321319552233
6,1,227.85,NaN,0.156660063895091,0.156660063895091,0,0.843339936104909
6,1,229.4,NaN,0.405735407915134,0.594264592084866,0,-0.405735407915134
6,1,230.85,NaN,0.285903911763856,0.285903911763856,0,-0.285903911763856
6,1,232.25,NaN,0.201463922465875,0.201463922465875,0,-0.201463922465875
6,1,233.85,NaN,0.141962772754435,0.141962772754435,0,-0.141962772754435
6,1,235.3,NaN,0.100034927353015,0.100034927353015,0,-0.100034927353015
6,1,236.9,NaN,0.0704902172334496,0.0704902172334496,0,-0.0704902172334496
6,1,238.35,NaN,0.0496713583655057,0.0496713583655057,0,-0.0496713583655057
6,1,239.75,NaN,0.035001223413789,0.035001223413789,0,-0.035001223413789
6,1,241.2,NaN,0.0246638239978702,0.0246638239978702,0,0.97533617600213
6,1,242.65,NaN,0.312723458283591,0.687276541716409,0,-0.312723458283591
6,1,244.2,NaN,0.22036247830335,0.22036247830335,0,-0.22036247830335
6,1,245.8,NaN,0.155279754549013,0.155279754549013,0,-0.155279754549013
6,1,247.2,NaN,0.109418819203919,0.109418819203919,0,-0.109418819203919
6,1,255.8,0.333333333333333,0.077102633442152,0.077102633442152,0,0.922897366557848
6,1,257.2,NaN,0.349674782855923,0.650325217144077,0,0.650325217144077
6,1,258.65,NaN,0.541744398262965,0.458255601737035,0,-0.541744398262965
6,1,260.15,NaN,0.381743470296128,0.381743470296128,0,-0.381743470296128
6,1,261.65,NaN,0.268997847658396,0.268997847658396,0,0.731002152341604
6,1,263.05,NaN,0.484894907407298,0.515105092592702,0,-0.484894907407298
