model,log_evidence,parameters
random,172.474959989105,0.000224355902008533
random,145.862450576664,0.00211324281102421
random,163.477309118794,-0.00351222152726649
random,159.649901541913,0.00272550942527872
random,160.922810818156,-0.00274026378655456
random,175.76863506769,0.0126745308444178
random,131.090758172641,0.00898616536949071
random,183.197049485057,-0.00347451391968434
random,153.380835838704,-0.000507927096061955
random,175.856993019259,-0.00182121900415488
random,175.954408475919,-0.00682456901845718
random,182.108956769659,-0.000715361238201595
random,167.555005206815,-0.000202530583335303
random,199.284357124453,-0.00605968294054193
random,101.47524187514,-0.0126279765374138
random,147.751389742171,-0.00480075104225719
random,206.616738037751,0.00525589704999163
random,171.754185013571,0.00718276060318424
random,172.921297694987,0.00261132442040868
random,183.136834190695,0.00186153653197429
random,170.493695521761,-0.00749550957112533
random,152.9888205599,-0.000557993505434951
random,214.900584297773,0.00862828398748494
random,138.470885393359,-0.00461866607449046
random,201.889983261888,-0.00306732125453291
random,211.250511824693,-0.00133026746190179
random,125.741846852379,-0.00530407964399959
random,146.160076673402,1.12698363903263e-05
random,161.180533464918,-0.00487008330776639
random,154.345693228304,-0.00283675374090908
random,98.1074231960503,-0.000947511278904578
random,161.215850476281,0.00604946642486226
random,140.002840038124,0.00133204882494375
random,145.927903724519,0.00208156180885677
random,130.249828519771,0.00231461581918779
rw,174.013026376054,-1.18441542906992
rw,139.524618246048,0.247401639419948
rw,169.511040412229,-1.68002513038844
rw,168.14691584064,-0.47015608796853
rw,157.677209285574,-2.65484493076647
rw,198.925145020665,-0.666474400338886
rw,140.161287411226,-1.9523114475415
rw,179.788715319708,-3.58098874904423
rw,152.964832450802,-0.393851754997652
rw,174.669531320057,-0.0400798761403607
rw,182.227013172047,-2.80159976511245
rw,185.335938706409,2.62675484599402
rw,161.260123903619,-4.99375777692341
rw,199.169723521702,0.886925090152307
rw,98.7907187861014,-0.121946629504841
rw,158.864758720529,-0.895461223677309
rw,206.784957686292,1.20133742232672
rw,171.236385006082,1.53943737337148
rw,182.342957470039,0.0404612276674392
rw,185.998091756366,-1.60034842494071
rw,178.290811298129,-2.37225673090175
rw,157.99493330355,-0.79695922463247
rw,219.938574214575,-0.658666884309651
rw,142.517505916296,-1.56757371187346
rw,197.970810407265,-0.0873111215216085
rw,208.151407894064,-3.81488163224955
rw,109.141326421507,1.68345452676837
rw,139.423588006255,-1.42039856279673
rw,163.198583500506,-1.76379529085093
rw,162.742266935079,-1.70546380434288
rw,96.7824091072654,0.408407296071079
rw,155.020320919149,-1.32169462405676
rw,113.553888975053,-2.33943702529659
rw,149.572836997192,3.06814657038472
rw,142.977973753232,-1.25254860281153
subjects_io_fixed_freq,177.612244453927,0.000224355902008533
subjects_io_fixed_freq,174.524919224825,0.00898616536949071
subjects_io_fixed_freq,180.061287835266,0.00559558109715397
subjects_io_fixed_freq,180.855363216271,-0.00347451391968434
subjects_io_fixed_freq,163.153531033752,0.0266235032048945
subjects_io_fixed_freq,199.52381357578,-0.000507927096061955
subjects_io_fixed_freq,104.00069740233,-0.0107954554043443
subjects_io_fixed_freq,158.84911755375,-0.00682456901845718
subjects_io_fixed_freq,204.690908106367,0.000980787912961745
subjects_io_fixed_freq,175.172747417175,0.0256448312683091
subjects_io_fixed_freq,182.349244243739,-0.0292263900002023
subjects_io_fixed_freq,141.795907386852,-0.00883986517410484
subjects_io_fixed_freq,186.374235515251,-0.0092593470299267
subjects_io_fixed_freq,180.458358262015,-0.00605968294054193
subjects_io_fixed_freq,158.63405727952,-0.0317419494925906
subjects_io_fixed_freq,219.849169512056,-0.0167237841570476
subjects_io_fixed_freq,156.097885660934,-0.00694815010316407
subjects_io_fixed_freq,198.739001596144,-0.00551606107923952
subjects_io_fixed_freq,209.663551874217,-0.0462872063560056
subjects_io_fixed_freq,113.241004528544,0.00919194686668146
subjects_io_fixed_freq,146.422196300477,-0.0178644131123171
subjects_io_fixed_freq,166.690244302164,-0.0202151137634496
subjects_io_fixed_freq,175.676112901146,-0.0164641747644829
subjects_io_fixed_freq,162.406721698489,0.00261132442040868
subjects_io_fixed_freq,97.1076436739343,0.0117987260553818
subjects_io_fixed_freq,158.36190803939,0.00974045967465198
subjects_io_fixed_freq,125.209305902098,0.00361563170598078
subjects_io_fixed_freq,144.877150613333,-0.000698183837915423
subjects_io_fixed_freq,148.678842242629,0.0109647278666465
subjects_io_fixed_freq,168.791117850252,-0.0189551287729071
subjects_io_fixed_freq,161.065561748613,0.00272550942527872
subjects_io_fixed_freq,197.14068302758,-0.00274026378655456
subjects_io_fixed_freq,142.654756456572,-0.00442073890198458
subjects_io_fixed_freq,182.395567565563,0.0126745308444178
subjects_io_fixed_freq,153.784629340756,0.0344146347844347
subjects_io_fixed_trans,171.074679835044,-4
subjects_io_fixed_trans,174.515461177278,-4
subjects_io_fixed_trans,174.047298903125,-4
subjects_io_fixed_trans,182.527866376277,-4
subjects_io_fixed_trans,159.53927865953,-4
subjects_io_fixed_trans,198.73030380777,-4
subjects_io_fixed_trans,103.002683607138,-4
subjects_io_fixed_trans,164.008318736031,-4
subjects_io_fixed_trans,210.647580509058,-4
subjects_io_fixed_trans,173.856771330309,-4
subjects_io_fixed_trans,186.633438323837,-4
subjects_io_fixed_trans,139.453685734305,-4
subjects_io_fixed_trans,183.712978820085,-4
subjects_io_fixed_trans,169.608624691256,-4
subjects_io_fixed_trans,159.167452611006,-4
subjects_io_fixed_trans,221.852161188018,-4
subjects_io_fixed_trans,158.390072711053,-4
subjects_io_fixed_trans,197.967752566146,-4
subjects_io_fixed_trans,207.591360485525,-4
subjects_io_fixed_trans,111.603367652318,-4
subjects_io_fixed_trans,143.107275314131,-4
subjects_io_fixed_trans,158.556641885832,-4
subjects_io_fixed_trans,182.295520566017,-4
subjects_io_fixed_trans,167.386131612423,-4
subjects_io_fixed_trans,96.9664449250733,-4
subjects_io_fixed_trans,156.149407608212,-4
subjects_io_fixed_trans,115.661868339263,-4
subjects_io_fixed_trans,143.320086908285,-4
subjects_io_fixed_trans,145.580760054317,-4
subjects_io_fixed_trans,176.231691528079,-4
subjects_io_fixed_trans,156.867687916009,-4
subjects_io_fixed_trans,212.428726530711,-4
subjects_io_fixed_trans,130.49996053501,-4
subjects_io_fixed_trans,170.197915084611,-4
subjects_io_fixed_trans,154.825176500755,-4
subjects_io_jump_freq,176.099299279755,-1.00217350901104
subjects_io_jump_freq,175.33000560427,0.85140260127604
subjects_io_jump_freq,183.274606172878,-4.98911368598843
subjects_io_jump_freq,183.046397936703,-0.187500673925589
subjects_io_jump_freq,166.573058836285,1.56193731879345
subjects_io_jump_freq,199.148791769273,-0.0563830600795221
subjects_io_jump_freq,105.003463005589,-1.51713773296815
subjects_io_jump_freq,158.032928734645,-2.73149091657798
subjects_io_jump_freq,205.579121071656,1.82186066810687
subjects_io_jump_freq,173.589592538106,-2.9901264807038
subjects_io_jump_freq,181.444881537378,-2.36143546193139
subjects_io_jump_freq,145.165228878214,0.933618603861089
subjects_io_jump_freq,184.466873929238,-4.16843748394033
subjects_io_jump_freq,178.631284455546,-4.12515429067162
subjects_io_jump_freq,157.641711112602,-2.66467089372098
subjects_io_jump_freq,217.712241698593,-1.81967595231623
subjects_io_jump_freq,156.533161204315,-2.61946138028919
subjects_io_jump_freq,201.131276849375,1.26535128367434
subjects_io_jump_freq,211.234827846816,0.122370692455936
subjects_io_jump_freq,124.200420042734,2.84626106154296
subjects_io_jump_freq,146.439934753485,-0.195729204522279
subjects_io_jump_freq,163.621651292541,-4.49012353993912
subjects_io_jump_freq,175.463415771663,-2.6306961588713
subjects_io_jump_freq,164.816841745125,-4.49950993308731
subjects_io_jump_freq,97.9728128201487,0.36434254482887
subjects_io_jump_freq,160.311269336162,1.51388207010685
subjects_io_jump_freq,139.136436855188,1.19840639193222
subjects_io_jump_freq,144.690092356887,2.21647056716726
subjects_io_jump_freq,144.232519405681,-2.61706671818055
subjects_io_jump_freq,169.075250512198,-1.78526930130011
subjects_io_jump_freq,161.297253505681,-0.411091741874968
subjects_io_jump_freq,198.580367185761,-2.63510812884579
subjects_io_jump_freq,138.73819403167,-4.78601883035012
subjects_io_jump_freq,184.403593929263,-0.413174891271594
subjects_io_jump_freq,153.8030307519,-1.08979794763553
subjects_io_jump_trans,171.525392169489,1.3235924622541
subjects_io_jump_trans,174.487432492419,-3.66219500005577
subjects_io_jump_trans,172.882685388588,-3.03795081268748
subjects_io_jump_trans,186.0086932439,0.385255744690212
subjects_io_jump_trans,160.032567780851,-4.94346931873154
subjects_io_jump_trans,199.3024521745,-4.07931293245632
subjects_io_jump_trans,101.209124682317,-1.91028918780608
subjects_io_jump_trans,161.947120581121,-2.57483691114999
subjects_io_jump_trans,210.34371395859,-3.34702379129223
subjects_io_jump_trans,171.966329961917,-2.37139192491347
subjects_io_jump_trans,185.435288360699,-2.02491825575453
subjects_io_jump_trans,139.208011532013,-3.88880776559401
subjects_io_jump_trans,185.038448074442,-4.42147096912062
subjects_io_jump_trans,170.312047589669,-4.65507380215367
subjects_io_jump_trans,157.744611769185,-2.49846986402021
subjects_io_jump_trans,219.743687131514,-2.09755791216444
subjects_io_jump_trans,157.721189303345,-3.42295854304421
subjects_io_jump_trans,198.75971079092,-4.85903995817308
subjects_io_jump_trans,207.193855123765,0.652369340858501
subjects_io_jump_trans,112.417272287223,-3.66285491633831
subjects_io_jump_trans,143.053736980657,-3.85940384721153
subjects_io_jump_trans,159.135124930416,-4.98526077089478
subjects_io_jump_trans,179.798034790674,-2.91065077573977
subjects_io_jump_trans,166.492709056845,-3.80087244602737
subjects_io_jump_trans,96.7247618206726,-4.37848057366315
subjects_io_jump_trans,155.025903867136,-2.26645634391652
subjects_io_jump_trans,119.388675448381,2.18210476449713
subjects_io_jump_trans,143.529329374921,-0.75097156666657
subjects_io_jump_trans,143.598793395864,-1.69328114380403
subjects_io_jump_trans,176.335757271228,-1.67063718163825
subjects_io_jump_trans,157.269032316975,0.308722570279284
subjects_io_jump_trans,211.034784172674,-3.15899710572489
subjects_io_jump_trans,131.577308767747,-4.45208210080268
subjects_io_jump_trans,174.400561886782,2.20164612017979
subjects_io_jump_trans,154.387263128656,-1.58355895354858
wsls,167.8504736176,0.000224355902008533
wsls,139.573590349317,0.00211324281102421
wsls,169.086310393885,-0.00351222152726649
wsls,164.207732486507,0.00272550942527872
wsls,156.650822282354,-0.00274026378655456
wsls,189.097082425964,0.0126745308444178
wsls,128.6237348564,0.00898616536949071
wsls,170.3546981864,-0.00347451391968434
wsls,152.628621286414,-0.000507927096061955
wsls,174.529023240803,-0.00182121900415488
wsls,172.364647711836,-0.00682456901845718
wsls,187.176699613965,-0.000715361238201595
wsls,159.67974220194,-0.000202530583335303
wsls,199.617555162254,-0.00605968294054193
wsls,97.2324057589735,-0.0126279765374138
wsls,151.875093082098,-0.00480075104225719
wsls,207.578566899775,0.00525589704999163
wsls,171.994855683408,0.00718276060318424
wsls,181.306603541463,0.00261132442040868
wsls,184.254599563104,0.00186153653197429
wsls,166.391117061616,-0.00749550957112533
wsls,153.685020257405,-0.000557993505434951
wsls,218.274171395815,0.00862828398748494
wsls,124.40477157808,-0.00461866607449046
wsls,197.972311043472,-0.00306732125453291
wsls,206.919056586677,-0.00133026746190179
wsls,110.195084570055,-0.00530407964399959
wsls,135.871853650138,1.12698363903263e-05
wsls,158.890275471284,-0.00487008330776639
wsls,153.452272561945,-0.00283675374090908
wsls,97.0838918613028,-0.000947511278904578
wsls,155.156094758484,0.00604946642486226
wsls,112.600723864932,0.00133204882494375
wsls,151.815355262523,0.00208156180885677
wsls,136.059292983258,0.00231461581918779
