model,log_evidence,parameters
random,-12.8723660010148,5.66642599508782e-09
random,-26.619347295564,8.13167731458423e-08
random,26.327060055246,-0.00351222152726649
random,-51.1778781990713,1.54872381585847e-09
random,0.140249260038101,3.20931603514651e-08
random,29.208937429046,0.0126745308444178
random,-61.2768102021527,-1.62292409289222e-07
random,17.9935817220913,0.00559558109715397
random,-20.0928308206136,1.75195269402906e-08
random,-12.3606012456735,-1.03737795279041e-07
random,39.8027075559637,-0.00682456901845718
random,-0.877353072625137,-1.65961140904708e-09
random,-24.623304760387,9.5843641152168e-08
random,7.4164091087314,-0.00605968294054193
random,-51.1857018078711,1.44210223762542e-07
random,-52.5930161775723,-2.62186413387675e-08
random,-40.1145201835267,4.51998050782481e-08
random,-0.0512456402051313,-2.56239296447802e-08
random,3.8431519775483,-0.00155071582353639
random,-7.80686781596237,-1.68371562209673e-08
random,-53.5511783651953,7.9572123791165e-08
random,-46.0645346123624,-2.74352789375598e-08
random,-21.826343967907,5.49210588118854e-08
random,-10.0566763102402,3.26655004919274e-08
random,-24.9148617248314,9.93835755913608e-08
random,32.4011075045075,-0.000557993505434951
random,-28.0460029309074,5.51512435720269e-08
random,-15.7754260139743,4.56334272591619e-08
random,-29.7836520096872,-2.25133859573598e-08
random,-1.68663513830317,-1.72236027378914e-09
random,-50.0641932810471,1.40516016531563e-07
random,-17.5781140548703,9.52738648964232e-08
random,-34.4682829803285,-2.17919563544263e-07
random,-13.7512396566899,-2.87473500175821e-08
random,-23.0268941863045,-7.50352651512916e-08
rw,-10.6967445574335,0.895240055658472
rw,-16.2509345095061,-0.8903776702979
rw,27.1814229977433,-2.09537508452732
rw,-38.0107681432892,-0.972749835656068
rw,0.805465257513821,0.846421232790054
rw,29.2024114378079,0.00785757513212459
rw,-58.2697145024604,-2.28558294224116
rw,18.3788332149241,-0.447899579588978
rw,-20.8863400558718,-2.12367475688605
rw,-11.8795657720961,0.80263188955193
rw,39.5625667430574,-3.50469262350576
rw,3.30114910138911,-3.60440331591761
rw,-25.2033496960095,-1.50331831847248
rw,8.38007768669795,-1.46834746414316
rw,-50.0180512386483,2.71646825237687
rw,-50.9876893745612,-2.9013823332527
rw,-40.3987544462337,-2.08603402674957
rw,-0.0227308655005705,0.0626270586462959
rw,3.98326610842611,0.486568579151989
rw,-4.26613225020313,-1.7982989077041
rw,-53.0260627398967,1.63966733164148
rw,-42.5394829520565,-0.423667699061648
rw,-22.0238910974413,-0.316164253647782
rw,-6.20116431003396,-1.58927948028116
rw,-21.5693837102782,-3.05485832039101
rw,32.2347734753333,-1.63892565200534
rw,-27.5100085943315,-5.91400595649323
rw,-15.3228222323898,-2.46921960555927
rw,-28.1159310074258,0.301903522447793
rw,-1.10235062862382,-3.33090604641866
rw,-50.481517589299,-0.781703466364241
rw,-18.0893127136291,-4.00704720844985
rw,-34.4574746098892,1.09229275581159
rw,-12.5532657951641,-1.66046567616153
