model,log_evidence,parameters
random,31.4389103940193,0.000224355902008533
random,-5.68123218761658,-5.05021002463572e-08
random,3.80725093410124,-0.00351222152726649
random,11.1113708018787,0.00272550942527872
random,0.308376741919173,2.15561725647514e-08
random,10.9407115598437,1.09763939492002e-08
random,0.0868427637312914,1.21492828020209e-07
random,-0.129080895673806,6.23811711298872e-08
random,38.4924403325131,0.00559558109715397
random,1.10769331756242,-6.05906052258974e-09
random,6.81798757477732,-0.00182121900415488
random,-29.4006696175886,-5.1735135948997e-08
random,-43.0449591713981,7.23057349815234e-08
random,-42.0488139826418,-4.75474686768847e-07
random,-22.2834243943866,-6.89657058085083e-08
random,-35.0545059246785,-2.22057985888036e-07
random,-8.13727295106106,-8.37204684917702e-08
random,-14.1492755911131,1.26466203667073e-07
random,-27.7203900219314,6.98804343115251e-08
random,-29.0449758119697,5.33705857286293e-08
random,-24.551481153626,4.44104529325792e-08
random,-40.2899387698438,-2.0028292010244e-07
random,-25.6739010889773,-4.3676155972485e-08
random,-1.63890805113588,-4.78220547606156e-08
random,-35.0829900585026,-1.81397024362256e-07
random,-17.3090742024657,-1.33568192292248e-07
random,-3.90247159602888,3.64982033721972e-08
random,-20.9394848329185,-2.51415673299068e-07
random,-17.6429059865836,1.55047292143411e-07
random,26.9793736437327,0.00862828398748494
random,-3.69332205882549,5.18819989484486e-08
random,-34.9175213562541,-2.14151634319047e-07
random,-16.5693741589312,-6.88556013290287e-08
rw,37.0705197427485,-4.62765365929672
rw,-9.27855887499082,-0.272035897033484
rw,3.44580603131665,-4.16730252418706
rw,10.0288906615245,-0.0173009772572472
rw,-0.458617985547559,1.62881206372478
rw,3.20481591148034,-1.99741556091773
rw,-2.09189912271905,-0.990357740201281
rw,-1.53300295074357,-1.80800981494754
rw,27.9285646670253,-4.99867456454554
rw,-5.48549503911091,-0.856148207567549
rw,6.63947560041147,0.258562859312733
rw,-30.4740510209538,-3.00544297974925
rw,-42.0769137374039,-6.37433130381173
rw,-38.7401240423079,1.41698266059739
rw,-22.3496094553931,-3.19392325573721
rw,-36.7692218831962,-2.4095698519392
rw,-2.28649640500676,1.48465319389854
rw,-10.6525705338139,-2.84285045290602
rw,-26.6170513154469,0.617262515398285
rw,-35.1194747870912,1.32186291236646
rw,-23.2330972621619,0.0447187925097125
rw,-40.3528054302589,2.13648111535814
rw,-23.7176528434463,0.0309017347668611
rw,-3.14564800268535,-4.01636400387366
rw,-34.5688777937884,0.988022396409534
rw,-18.5138287683149,-1.03330999111337
rw,-4.60575613103356,-0.53311801438873
rw,-21.5900748961669,-1.27382846224691
rw,-17.1219636204141,-1.71703559940968
rw,30.1359457108613,0.539467589113748
rw,-3.80363350000086,-0.0267172847933632
rw,-49.0697900641389,-3.65551319656693
rw,-19.7743587904375,-1.38272631161705
subjects_io_fixed_freq_srp1,34.8241710909661,0.000224355902008533
subjects_io_fixed_freq_srp1,-1.07334544588769,5.44959393167233e-08
subjects_io_fixed_freq_srp1,8.50771901658667,0.00785757513212459
subjects_io_fixed_freq_srp1,-30.9625192353217,-4.27598014773878e-08
subjects_io_fixed_freq_srp1,-35.1028446039942,1.69937943717002e-07
subjects_io_fixed_freq_srp1,-25.3276708425263,9.61466328774918e-08
subjects_io_fixed_freq_srp1,-21.6248805171268,-1.84918702572645e-09
subjects_io_fixed_freq_srp1,-29.8071396204425,7.69863710559093e-08
subjects_io_fixed_freq_srp1,-7.11276894551434,-2.62004924422854e-08
subjects_io_fixed_freq_srp1,-7.19297941035365,2.68195308184005e-08
subjects_io_fixed_freq_srp1,-27.292329370904,1.34759456926759e-08
subjects_io_fixed_freq_srp1,-1.63246956004862,-3.39986758746136e-08
subjects_io_fixed_freq_srp1,-35.9908933184132,-8.92244744754578e-08
subjects_io_fixed_freq_srp1,-18.6193500764822,9.00931889091794e-08
subjects_io_fixed_freq_srp1,-39.5070121784461,2.35179485893288e-07
subjects_io_fixed_freq_srp1,-14.5117447003584,4.39138334584754e-08
subjects_io_fixed_freq_srp1,-2.08462827448997,-3.20242876661325e-09
subjects_io_fixed_freq_srp1,-29.6666660612118,3.59249671139475e-08
subjects_io_fixed_freq_srp1,-10.0294424917995,-2.74881051254283e-08
