model_name,model_frequency,exceedance_prob,protected_exceedance_prob
random,0.31384722415721,0.7622,0.0781337505037273
rw,0.113057200332621,0.01643,0.0768162042595204
subjects_io_fixed_freq_srp1,0.00226250085624067,0,0.0767871775022195
subjects_io_fixed_freq_std1,0.00226254974022505,1e-05,0.0767871951691442
subjects_io_fixed_trans_srp1,0.00226256760906465,0,0.0767871775022195
subjects_io_fixed_trans_ss,0.00226256760906465,0,0.0767871775022195
subjects_io_fixed_trans_std1,0.120874745385139,0.02112,0.0768244900472101
subjects_io_jump_freq_srp1,0.114857905819695,0.01743,0.0768179709519916
subjects_io_jump_freq_ss,0.114857905819695,0.01657,0.0768164515964664
subjects_io_jump_freq_std1,0.00226257588622341,0,0.0767871775022195
subjects_io_jump_trans_srp1,0.00226254050204243,0,0.0767871775022195
subjects_io_jump_trans_ss,0.00226254050204243,0,0.0767871775022195
subjects_io_jump_trans_std1,0.206667175780737,0.16624,0.0770808724586229
